,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,Year,Month,Day
5182,cyotee,liviade,joining the hack session and staying for a great discussion on anarchy vs community governance,Telegram,2021-02-01,TE Praise,30.0,25.0,80.0,0.001665704767,1.36032556,1.36032556,cyotee,Zep,Jake,Juanka,#11 Feb 12,,,,TE Praise,Telegram:TE Praise,2021,2,1
1530,chuygarcia92,Suga#8514,to for bringing me on board the Zenhub team!,Token Engineering Commons,2021-04-14,🙏praise,1000.0,100.0,80.0,0.0009269003455,1.112280415,5.458612046,chuygarcia92,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,14
3099,paulo_c2d,iviangita,for joining the TEC Community Call 🙏 🙂 https://www.youtube.com/watch?v=DhNRqaOw3ic,Token Engineering Commons,2021-03-19,🙏praise,15.0,60.0,100.0,0.0009088990941,1.014937322,8.619213757,paulo_c2d,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,19
5310,iviangita,zeptimusQ,drafting the audit proposal its amazing you are here🙌🙌,Telegram,2021-01-18,TE Praise,100000.0,100.0,100.0,0.01066203478,9.951232463,25.63526864,iviangita,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,18
7233,cranders71,cranders71,the great energy and thought provoking conversation on the Legal WG weekly sync 📜🤲,Telegram,2020-12-04,TE Praise,45.0,45.0,50.0,0.001677839916,,,cranders71,Griff,Zep,Santi,#6 Dec 4,1.314307934,30.67343107,,TE Praise,Telegram:TE Praise,2020,12,4
944,zeptimusQ,JuankBell,for their amazing collaborations and interest in Gravity as a project to take care of. And for helping to set strong basements and high quality standards for the application of Alternative Dispute Resolution in DAOs with ethical and professional responsibility,Token Engineering Commons,2021-04-24,🙏praise,1000.0,100.0,150.0,0.001227065436,1.472478524,43.85790881,zeptimusQ,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,24
5156,chuygarcia92,chuygarcia92,2 hours of meeting with Gardens + prep for weekly recap,Telegram,2021-02-03,Gardens Swarm,120.0,100.0,100.0,0.004126649838,3.370097367,2.594884667,chuygarcia92,Zep,Jake,Juanka,#11 Feb 12,,,,Gardens Swarm,Telegram:Gardens Swarm,2021,2,3
465,JuankBell,iviangita,"because he is always available to help, for all his work in Gravity, for living the life of a Graviton and inspiring everyone, for his incredible work on Gravity, for his work with Gravity, for working around in the ETH Colombia community, and for always being really cool and encouraging ",Token Engineering Commons,2021-04-30,🙏praise,,,,0.0,1.3544018058690743,6.501007788,JuankBell,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
3200,naynaysoo,iviangita,for their awesome work on Gitbook and for the contributions they have been giving even they are new,Token Engineering Commons,2021-03-19,🙏praise,25.0,100.0,100.0,0.001234425234,1.378441511,6.528198081,naynaysoo,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,19
1241,GriffGreen,Suga#8514,to @griffGreen for re-guiding my scholarship request!,Token Engineering Commons,2021-04-14,🙏praise,1000.0,50.0,80.0,0.0007088501503,0.8506201804,10.22530884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,14
6463,naynaysoo,liviade,joining the book club last week! 🙌✨🤓,Telegram,2020-12-28,TE Praise,50.0,25.0,25.0,0.002087383055,0.9045326571,5.554432686,naynaysoo,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,28
833,kei#9866,iviangita,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,2021-05-07,🙌praise,500.0,25.0,100.0,0.0004317674408,0.518120929,1.712771486,kei#9866,Metaverde,Juank,Edu,#17 May 7,,,,praise,Commons Stack:praise,2021,5,7
611,Tam2140,iviangita,for being awesome people who have interacted with Juan recently because having conversations with you are amazing ,Token Engineering Commons,2021-05-07,🙏praise,1000.0,200.0,100.0,0.001042633091,1.25115971,4.797711404,Tam2140,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
4256,rdfbbx#6437,rdfbbx#6437,test ,Token Engineering Commons,2021-01-28,general,,,,0.0,0.0,21.99425075,@rdfbbx#6437,Zep,Griff,Juanka,#12 Feb 26,,,,general,Token Engineering Commons:general,2021,1,28
165,cranders71,liviade,for a delightful blogpost! https://medium.com/token-engineering-commons/your-economy-your-choice-v2-4f7c9fb42d99 ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,200.0,200.0,0.001342393283,1.61087194,15.11309888,cranders71,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
5845,cranders71,iviangita,their great conversations with Dan and helping with the Trusted Seed,Telegram,2021-01-08,TE Praise,25.0,35.0,60.0,0.001012854643,0.7596409819,30.9333796,cranders71,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,8
6314,Krisjones,GriffGreen,mentioning us or retweeting us on the socials in December! Thank you for helping us growing the Commons Stack community and spreading the message! 💪🙏,Telegram,2021-01-04,Commons Stack,45.0,25.0,10.0,0.0006846054904,0.5134541178,0.7805582855,krisjones,Griff,Jake,Zepti,#9 Jan 15,,,,Commons Stack,Telegram:Commons Stack,2021,1,4
5300,metaverde,cranders71,"a productive, efficient Onboarding WG weekly sync 🏄‍♀️",Telegram,2021-01-28,TE Praise,,,,0.0,1.9815994338287328,31.70559094,metaverde,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,28
3477,ryanchrypto,GriffGreen,for dropping into our Comms Call,Commons Stack,2021-03-23,🙌praise,15.0,60.0,100.0,0.0009088990941,1.014937322,1.865910415,ryanchrypto,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Commons Stack:praise,2021,3,23
2412,divine_comedian,iviangita,for contributing so much to the community,Token Engineering Commons,2021-04-02,🙏praise,,100.0,100.0,0.001436335405,1.651785716,5.958621165,divine_comedian,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2
6534,JessicaZartler,iviangita,the warm welcome they gave Tam,Telegram,2020-12-27,TE Praise,30.0,25.0,50.0,0.00212348949,0.9201787788,3.38736106,jessicazartler,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,27
1053,cranders71,zeptimusQ,@Zeptimus@gabi for joining the commons swarm weekly sync ⚡,Token Engineering Commons,2021-04-12,🙏praise,1000.0,60.0,50.0,0.0006238180076,0.7485816091,23.12587137,cranders71,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,12
865,terry#6288,iviangita,@willszal#6405 for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,2021-05-07,🧪praise-testing,500.0,25.0,100.0,0.0004317674408,0.518120929,1.036241858,terry#6288,Metaverde,Juank,Edu,#17 May 7,,,,praise-testing,Commons Stack:praise-testing,2021,5,7
1254,GriffGreen,zeptimusQ,for joining Stewards call✨,Token Engineering Commons,2021-04-21,🙏praise,1000.0,60.0,50.0,0.0006238180076,0.7485816091,10.22530884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,21
675,markop,iviangita,for joining the Legal weekly sync ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,80.0,100.0,0.0006595463701,0.7914556442,4.540587734,markop,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
304,Laurenluz,GriffGreen,joining our Commons Stack Simulator sync & continuing to improve the game!,Telegram,2021-04-28,CS dDEV Team,1000.0,70.0,100.0,0.0006276224767,0.7531469721,9.262478414,Laurenluz,Metaverde,Juank,Edu,#17 May 7,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,4,28
88,Suga#8514,Tam2140,for joining the Community Stewards sync yesterday. ,Token Engineering Commons,2021-05-06,🙏praise,1000.0,90.0,100.0,0.0006914702636,0.8297643163,20.12199683,Suga#8514,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,6
1904,Laurenluz,Krisjones,for their great work on Part 1 of the Commons Simulator deep dive!,Commons Stack,2021-04-05,🙌praise,,100.0,100.0,0.001436335405,1.651785716,17.81776325,Laurenluz,-,Juank,Ivy,#15 Apr 9,,,,praise,Commons Stack:praise,2021,4,5
6748,sembrestels,cranders71,attending today's  Impact Hours deep dive. Looking forward to those parameter sets  🧮🙏,Telegram,2020-12-11,TE Praise,21.0,60.0,50.0,0.002230994692,1.6810545,44.81065722,sembrestels,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,11
6227,markop,GriffGreen,donating to the Commons Simulator Grant... which btw... watch out for an email this week for a special invite to be the first  to play the game before its completely done ;-D,Telegram,2021-01-05,Commons Stack,45.0,55.0,40.0,0.001210085352,0.9075640141,3.826099636,markop,Griff,Jake,Zepti,#9 Jan 15,,,,Commons Stack,Telegram:Commons Stack,2021,1,5
5236,zeptimusQ,iviangita,"joining the Legal WG to discuss the meeting attendance terms, for their idea of the audit that’s amazing to put into practice, and for the incredible work they’re doing with transparency going beyond the scope",Telegram,2021-01-29,TE Praise,2000.0,50.0,100.0,0.002123243556,1.981693985,59.96553876,zeptimusq,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29
2820,mateodaza,ddan#2489,and who all had great input for todays Gravity call,Token Engineering Commons,2021-03-25,🙏praise,15.0,80.0,100.0,0.0009928040298,1.108631167,25.07491014,mateodaza,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,25
7019,CoachB,GriffGreen,reviewing the DApp with a critical legal eye,Telegram,2020-12-09,Commons Stack,5.0,50.0,50.0,0.001507634014,1.13600223,3.720792078,coachb,Tam,Zep,Santi,#7 Dec 18,,,,Commons Stack,Telegram:Commons Stack,2020,12,9
5213,existenialstoic,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 💪🙏,Telegram,2021-02-05,Commons Stack,10.0,10.0,15.0,0.000447651032,0.3655816761,0.7970926868,existenialstoic,Zep,Jake,Juanka,#11 Feb 12,,,,Commons Stack,Telegram:Commons Stack,2021,2,5
170,cranders71,iviangita,for helping Suga taking off the block ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,15.11309888,cranders71,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
615,Tam2140,Tam2140,for joining the Community Stewards sync yesterday. ,Token Engineering Commons,2021-05-06,🙏praise,1000.0,150.0,100.0,0.0008830136242,1.059616349,4.797711404,Tam2140,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,6
1227,GriffGreen,iviangita,they are not as visible in the community but the work they are doing on the hatch is super cool,Telegram,2021-04-23,TE Praise,2000.0,100.0,150.0,0.001374819573,1.649783488,10.22530884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,TE Praise,Telegram:TE Praise,2021,4,23
1724,papa_raw,JessicaZartler,for starting lively dialogue around governance,Commons Stack,2021-04-19,🙌praise,2000.0,200.0,100.0,0.001596516327,1.915819593,2.612069155,papa_raw,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Commons Stack:praise,2021,4,19
4532,JessicaZartler,cranders71,contributing to latest TEC praise quant blog,Telegram,2021-02-17,TE Praise,200.0,200.0,150.0,0.002139185372,3.0661657,6.459898129,jessicazartler,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,17
6885,GriffGreen,liviade,"creating the praise system that is such a huge pillar of our gratitude culture and for implementing it in the TEC via a contribution reward proposal in the early days of the cultural build! We are so lucky to have a human based approach  to rewards, going beyond concrete contributions to also acknowledging subjective and care work ones.",Telegram,2020-12-07,TE Praise,89.0,500.0,200.0,0.01222133713,9.208777529,10.26614504,griffgreen,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,7
3589,cranders71,iviangita,for helping push Gitcoin and all the things he does for comms ,Token Engineering Commons,2021-03-12,🙏praise,25.0,10000.0,600.0,0.004871998138,5.034398076,25.46545454,cranders71,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,12
6252,fabiosmendes,Sponnet2,tackling remaining issues in the Swiss Membership Dapp,Telegram,2021-01-09,Swiss Membership (CSTK Token) DApp,100.0,100.0,100.0,0.002562570352,1.921927764,2.582191953,fabiosmendes,Griff,Jake,Zepti,#9 Jan 15,,,,Swiss Membership (CSTK Token) DApp,Telegram:Swiss Membership (CSTK Token) DApp,2021,1,9
4453,durgadasji,iviangita,"he is sharing his decentralized learning journey with so much honesty and humor, for being open and for his contributions in the Graviton training",Telegram,2021-02-26,TE Praise,220.0,200.0,200.0,0.002509898549,3.597521254,9.923013282,durgadasji,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
6456,mateodaza,Tonga2020,"their overall presence, and stability of mind and the work in gravity",Telegram,2020-12-19,DUPLICATE,0.0,0.0,0.0,0.0,0.0,6.021290811,mateodaza,Griff,Jake,Juanka,#8 Jan 1,,,,DUPLICATE,Telegram:DUPLICATE,2020,12,19
5785,zeptimusQ,sembrestels,"coming and recording the gardens swarm call as every time, and for writing the transparency wg forum post! https://forum.tecommons.org/t/transparency-working-group/197",Telegram,2021-01-04,TE Praise,,,,0.0,1.644736842105263,54.27631579,zeptimusq,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,4
1341,liviade,liviade,"@AnnaMarieSwan, @freedumbs00, @natesuits, @Juankbell, @mateodaza, @griff, @santigs, @Suga, @Zeptimus, @AmwFund, @durgadas, @Tam2140, @chuygarcia92🐝, for joining soft gov! It's always so insightful to spend this time with you!",Token Engineering Commons,2021-04-13,🙏praise,1000.0,60.0,50.0,0.0006238180076,0.7485816091,8.26473812,liviade,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,13
4773,officialnico,iviangita,joining the TEC Weekly Sync 🙏🏼😊,Telegram,2021-02-26,TE Praise,40.0,20.0,50.0,0.0004950340078,0.7095487446,0.7095487446,officialnico,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
4951,VitorMarthendal,GriffGreen,joining our Commons Stack Simulator sync & continuing to push this project to the finish line!!,Telegram,2021-02-10,CS dDEV Team,40.0,50.0,60.0,0.001952063723,1.594185374,11.98353789,vitormarthendal,Zep,Jake,Juanka,#11 Feb 12,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,2,10
834,andythegreenie#7463,iviangita,@willszal#6405 for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,2021-05-07,🧪praise-testing,500.0,25.0,100.0,0.0004317674408,0.518120929,1.712771486,andythegreenie#7463,Metaverde,Juank,Edu,#17 May 7,,,,praise-testing,Commons Stack:praise-testing,2021,5,7
7200,zeptimusQ,liviade,joining the book club last week 💫💫,Telegram,2020-11-30,TE Praise,,,,0.0,,,zeptimusq,Griff,Zep,Santi,#6 Dec 4,1.119370091,34.70047283,,TE Praise,Telegram:TE Praise,2020,11,30
2214,BlairV,JessicaZartler,starting the cadCAD bootcamp study group!,Telegram,2021-04-05,TE Praise,,100.0,200.0,0.002149500432,2.471925496,7.787140622,BlairV,-,Juank,Ivy,#15 Apr 9,,,,TE Praise,Telegram:TE Praise,2021,4,5
5471,ygganderson,iviangita,joining the TEC Weekly Sync 🙌🏽😁,Telegram,2021-01-29,TE Praise,1000.0,15.0,25.0,0.0006163682558,0.5752770387,8.930831576,ygganderson,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29
4920,liviade,iviangita,"giving a great talk at ETHDenver, for representing TEC at ETHDenver, for onboarding a lot of people in the Wednesday call, for being participatory with Jake on onboarding and still being focused on ETHDenver, and for hosting the AMA call",Telegram,2021-02-12,TE Praise,150.0,100.0,200.0,0.005619266457,4.589067607,14.43379421,liviade,Zep,Jake,Juanka,#11 Feb 12,,,,TE Praise,Telegram:TE Praise,2021,2,12
1564,freedumbs00,vegayp,for joining the call and helping Onboarding Auryn.,Token Engineering Commons,2021-04-13,🙏praise,1000.0,100.0,100.0,0.0010126618,1.21519416,5.330037842,freedumbs00,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,13
532,mehigher,Tam2140,for reaching our for help when the Trusted Seed membership dues are not going through! ,Token Engineering Commons,2021-04-26,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,6.114819591,mehigher,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,26
3319,markop,freedumbs00,understanding those intentions and moving them in his own space,TG,2021-03-21,TE Praise,25.0,100.0,100.0,0.001234425234,1.378441511,4.522869831,markop,Jake,Juank,Eduardo,#14 Mar 26,,,,TE Praise,TG:TE Praise,2021,3,21
1943,iviangita,Tam2140,to for mission vision value tokenlog waterfall Griff's land in S. America sprint planning session,Token Engineering Commons,2021-04-02,🙏praise,,,,0.0,1.335656214,21.37049884,iviangita,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2
2895,durgadasji,liviade,joining the mission token log hack session!,TG,2021-03-18,TE Praise,15.0,60.0,100.0,0.0009088990941,1.014937322,18.52996145,durgadasji,Jake,Juank,Eduardo,#14 Mar 26,,,,TE Praise,TG:TE Praise,2021,3,18
2586,vivszaid,iviangita,they are getting us to the Hatch and for handling all the applications for the hatchers,Telegram,2021-04-09,TE Praise,,70.0,75.0,0.001041093035,1.19725699,2.352356376,vivszaid,-,Juank,Ivy,#15 Apr 9,,,,TE Praise,Telegram:TE Praise,2021,4,9
6834,cranders71,cranders71,a fascinating and informational deep dive into Dandelion Voting Parameters 🗳,Telegram,2020-12-10,TE Praise,21.0,45.0,50.0,0.00205164823,1.545916941,18.44150714,cranders71,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,10
7242,durgadasji,liviade,their presence and great contributions to the soft gov wg sync ⭐️🥰,Telegram,2020-12-01,TE Praise,30.0,60.0,40.0,0.001533508579,,,durgadasji,Griff,Zep,Santi,#6 Dec 4,1.201248387,25.57298254,,TE Praise,Telegram:TE Praise,2020,12,1
2562,jeffemmett,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Telegram,2021-04-03,TE Praise,,20.0,15.0,0.0002516088297,0.2893501542,3.556254027,jeffemmett,-,Juank,Ivy,#15 Apr 9,,,,TE Praise,Telegram:TE Praise,2021,4,3
4001,trentmc0,JessicaZartler,for his work in decentralizing data markets ,Commons Stack,2021-03-08,praise,25.0,2500.0,1000.0,0.003500166776,3.616839002,3.616839002,trentmc0,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Commons Stack:praise,2021,3,8
4463,Laurenluz,GriffGreen,joining our Commons Stack Simulator sync & continuing to push this project to the finish line!!,Telegram,2021-02-18,CS dDEV Team,40.0,50.0,80.0,0.000752629433,1.078768854,8.951804907,laurenluz,Zep,Griff,Juanka,#12 Feb 26,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,2,18
108,AnnaMarieSwan#8824,iviangita,for the amazing panel on DAOs yesterday with Livia ,Token Engineering Commons,2021-05-07,🙏praise,20000.0,200.0,200.0,0.003325898868,3.991078642,19.08114174,AnnaMarieSwan#8824,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
6676,wipabramson,GriffGreen,"donating to Commons Stack Iteration 0 Gitcoin grant, helping us raise over 14,000 DAI to build the future of high functioning Public Goods focused economies!",Telegram,2020-12-23,Commons Stack,20.0,25.0,25.0,0.001423151902,0.6166991577,0.6166991577,wipabramson,Griff,Jake,Juanka,#8 Jan 1,,,,Commons Stack,Telegram:Commons Stack,2020,12,23
946,zeptimusQ,durgadasji,for their work in Gravity,Token Engineering Commons,2021-04-15,🙏praise,2000.0,100.0,100.0,0.001160415937,1.392499125,43.85790881,zeptimusQ,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,15
4203,metaverde,liviade,coming to the soft gov call last week 😬 sorry for such a late praise 😁🙌✨,Telegram,2021-02-23,TE Praise,60.0,100.0,80.0,0.0009553502765,1.369335396,35.78736213,metaverde,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,23
4758,unquaLe,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-02-19,Commons Stack,10.0,20.0,20.0,0.0002077573614,0.2977855513,1.319573303,unquale,Zep,Griff,Juanka,#12 Feb 26,,,,Commons Stack,Telegram:Commons Stack,2021,2,19
3029,liviade,divine_comedian,for her great work organizing the gitbook!,Token Engineering Commons,2021-03-18,🙏praise,15.0,200.0,400.0,0.002758063297,3.079837348,8.963435776,liviade,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,18
2241,JuankBell,GriffGreen,for all the DANK memes during the meme party!!,Token Engineering Commons,2021-04-02,🙏praise,,,,0.0,1.335656214,7.413129907,JuankBell,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2
319,GriffGreen,iviangita,for working on the hatch backend ,Token Engineering Commons,2021-05-07,🙏praise,1000.0,150.0,200.0,0.001182773816,1.419328579,8.927063614,GriffGreen,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
3818,kristoferkristofer ,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-05,Commons Stack,35.0,500.0,40.0,0.0008127328046,0.8398238981,7.839279189,kristoferkristofer,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,2021,3,5
4480,Tam2140,iviangita,having a lot of communication with Juan which strengthens the trust in relationship,Telegram,2021-02-26,TE Praise,120.0,200.0,200.0,0.00214962777,3.081133137,8.640675255,tam2140,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
5614,chuygarcia92,iviangita,rallying around this last push to get the hash contracts frozen,Telegram,2021-01-29,TE Praise,2000.0,25.0,50.0,0.00113920864,1.063261398,5.871911145,chuygarcia92,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29
1146,kristoferkristofer ,iviangita,for the great new landing page,Token Engineering Commons,2021-04-23,🙏praise,5000.0,100.0,100.0,0.001603678348,1.924414018,14.15525285,kristoferkristofer,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,23
6744,sembrestels,iviangita,the CS dev diagrams,Telegram,2020-12-11,TE Praise,34.0,120.0,100.0,0.004160091199,3.134628718,44.81065722,sembrestels,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,11
4722,jeffemmett,zeptimusQ,his awesome article Automating Ostrom for Effective DAO Management💥☀️,Telegram,2021-02-20,Commons Stack,300.0,100.0,200.0,0.002536781798,3.63605391,2.52480455,jeffemmett,Zep,Griff,Juanka,#12 Feb 26,,,,Commons Stack,Telegram:Commons Stack,2021,2,20
5229,zeptimusQ,GriffGreen,their work on the TEC Test Hatch DAO Spec https://forum.tecommons.org/t/tec-test-hatch-implementation-specification/226,Telegram,2021-01-21,TE Praise,125000.0,200.0,100.0,0.01447226377,13.50744618,59.96553876,zeptimusq,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,21
