,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,Year,Month,Day
3701,akrtws ,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Telegram,2021-03-05,TE Praise,35.0,500.0,40.0,0.0008127328046,0.8398238981,10.06413688,akrtws,Jake,Metaverde,Griff,#13 Mar 12,,,,TE Praise,Telegram:TE Praise,2021,3,5
7460,GraceRachmany,iviangita,participating in the TEC Community Call this week 🙌🏽,Telegram,2020-12-04,TE Praise,45.0,45.0,40.0,0.00153603215,,,gracerachmany,Griff,Zep,Santi,#6 Dec 4,1.2032251840000001,4.425386748,,TE Praise,Telegram:TE Praise,2020,12,4
3767,liviade,iviangita,for joining the last Legal WG meeting 🙏 ,Token Engineering Commons,2021-03-07,🙌🏿praise,25.0,1000.0,40.0,0.0008045380941,0.8313560306000001,8.736447587999999,liviade,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,7
398,chuygarcia92,Vyvy-vi#5040,and for hosting Hatch Params Party in 1hive! ,Token Engineering Commons,2021-05-07,🙏praise,10000.0,200.0,200.0,0.00228194856,2.738338273,7.18127319,chuygarcia92,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
6205,ygganderson,iviangita,his big win yesterday,Telegram,2021-01-08,TE Praise,50.0,55.0,50.0,0.0013294547330000002,0.9970910497,4.232451467,ygganderson,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,8
7179,sembrestels,sembrestels,"5hours of work on writing tests for hatch oracle, it's finally finished!",Telegram,2020-12-04,Gardens Swarm,500.0,400.0,300.0,0.013950655749999999,,,sembrestels,Griff,Zep,Santi,#6 Dec 4,10.92801367,42.78739172,,Gardens Swarm,Telegram:Gardens Swarm,2020,12,4
963,zeptimusQ,zeptimusQ,for joining Hatchers Outreach call ⚡,Token Engineering Commons,2021-04-21,🙏praise,1000.0,70.0,50.0,0.0006674280466000001,0.8009136559000001,43.85790881,zeptimusQ,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,21
6124,Tam2140,iviangita,ringing in the new year with us last Thursday call! 🎉🥳,Telegram,2021-01-02,TE Praise,10.0,25.0,10.0,0.0004007657057,0.3005742793,6.032774268,tam2140,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,2
1652,xgabi,GriffGreen,pushing the actual smart contracts that we’re going forward with in the Commons Swarm,Telegram,2021-04-14,Commons Stack,50000.0,200.0,150.0,0.008903118545,10.68374225,4.315707988,xgabi,Metaverde,Juank,Ivy,#16 Apr 24,,,,Commons Stack,Telegram:Commons Stack,2021,4,14
6228,markop,iviangita,their great teamwork despite the difficulty of gathering online and for their excellent connections,Telegram,2021-01-08,TE Praise,200.0,155.0,180.0,0.004533973013,3.4004797589999995,3.8260996360000004,markop,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,8
5432,JuankBell,zeptimusQ,"leading the second session of the gravity course, it have huge value! thanks for that🙏",Telegram,2021-01-28,TE Praise,,,,0.0,1.9815994338287328,8.718680184,juankbell,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,28
2308,markop,Vyvy-vi#5040,"for pro-actively providing the slides, callender and template text that can be used for call-alerts",Token Engineering Commons,2021-04-07,🙏praise,,150.0,150.0,0.002154503108,2.477678574,6.992560491,markop,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,7
4718,heater03,iviangita,joining the TEC Weekly Sync 🙏🏼😊,Telegram,2021-02-26,TE Praise,40.0,20.0,50.0,0.0004950340078,0.7095487446,2.663225807,heater03,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
362,atacas,Krisjones,for his awesome work studying the praise system and distilling his learning into a case study! ,Commons Stack,2021-05-03,🙌praise,1000.0,200.0,200.0,0.0013423932829999998,1.61087194,7.823748029,atacas,Metaverde,Juank,Edu,#17 May 7,,,,praise,Commons Stack:praise,2021,5,3
5170,fabimol,iviangita,their effort in communicating with 1hive to collaborate in the Gardens Swarm project and with what we’re doing with the Commons Stack,Telegram,2021-02-05,TE Praise,60.0,50.0,80.0,0.002409166178,1.9674857119999998,2.072727261,fabimol,Zep,Jake,Juanka,#11 Feb 12,,,,TE Praise,Telegram:TE Praise,2021,2,5
4293,rdfbbx#6437,rdfbbx#6437,for new bot logo ,Token Engineering Commons,2021-02-09,🙌🏿praise,40.0,60.0,100.0,0.0008982263788999999,1.28745781,21.99425075,@rdfbbx#6437,Zep,Griff,Juanka,#12 Feb 26,,,,praise,Token Engineering Commons:praise,2021,2,9
3123,Tam2140,JuankBell,for bringing so much value into this world. It's amazing to feel part of this community of talented and mindful people.,Token Engineering Commons,2021-03-22,🙏praise,15.0,200.0,100.0,0.0014962336439999998,1.6707942359999999,7.63087726,Tam2140,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,22
3812,JuankBell,iviangita,because he finished the amazing Graviton Training like a champ (x3) 😁 ,Token Engineering Commons,2021-03-12,🙏praise,,,,0.0,,8.349620952,JuankBell,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,12
3347,divine_comedian,iviangita,for reviewing the Transparency medium post,Token Engineering Commons,2021-03-26,🙏praise,25.0,100.0,100.0,0.001234425234,1.378441511,4.427583805,divine_comedian,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,26
3839,Tam2140,iviangita,"for all the work she is doing in organizing the stewards group and making it easy for everybody to see what everyone is doing on Github, and because she is the big organizer of our hive ",Token Engineering Commons,2021-03-05,🙌🏿praise,50.0,2500.0,1000.0,0.0039045012410000002,4.034651282,6.7723309270000005,Tam2140,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,5
2478,vegayp,markop,to for attending the Comms Weekly call.,Token Engineering Commons,2021-03-30,🙏praise,,40.0,50.0,0.0006458506648,0.7427282645000001,5.748329845,vegayp,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,3,30
582,xgabi,chuygarcia92,for being heros with no capes ,Token Engineering Commons,2021-04-29,🙏praise,1000.0,200.0,100.0,0.001042633091,1.25115971,5.005165508,xgabi,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,29
5271,Santigs67,iviangita,the tremendous effort that happens in the background and they give to the community,Telegram,2021-01-29,TE Praise,5000.0,25.0,100.0,0.0018883647860000001,1.7624738009999998,58.23033231,santigs67,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29
241,sembrestels,iviangita,for building amazing stuff and being the architects of these amazing tools ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,200.0,200.0,0.0013423932829999998,1.61087194,11.11149818,sembrestels,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
3600,Santigs67,iviangita,for helping Mateo write the Source Cred proposal ,Token Engineering Commons,2021-03-05,🙌🏿praise,50.0,2000.0,200.0,0.0018884526199999998,1.951401041,23.72539307,Santigs67,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,5
